date,close,苹果：批发市场：交易数量（周）,苹果：批发市场：日均交易量（周）,苹果：冷库：出货量：中国（周）,苹果：冷库：库存：中国（周）
"2020-09-25","7453","36161.76","5165.966","7.63","42.9"
"2020-09-28","7306","","","",""
"2020-09-29","7368","","","",""
"2020-09-30","7497","","","",""
"2020-10-02","","26327.96","3761.137","",""
"2020-10-09","8028","25538.63","3648.376","",""
"2020-10-12","8143","","","",""
"2020-10-13","8229","","","",""
"2020-10-14","8172","","","",""
"2020-10-15","8264","","","",""
"2020-10-16","8184","29225.16","4175.023","",""
"2020-10-19","8173","","","",""
"2020-10-20","8206","","","",""
"2020-10-21","8011","","","",""
"2020-10-22","7962","","","",""
"2020-10-23","7706","34248.69","4892.67","",""
"2020-10-26","7546","","","",""
"2020-10-27","7429","","","",""
"2020-10-28","7454","","","",""
"2020-10-29","7356","","","",""
"2020-10-30","7360","30568.08","4366.869","","1133"
"2020-11-02","7297","","","",""
"2020-11-03","7364","","","",""
"2020-11-04","7318","","","",""
"2020-11-05","7160","","","",""
"2020-11-06","7050","31302","4471.833","-5.72","1138.72"
"2020-11-09","7150","","","",""
"2020-11-10","7291","","","",""
"2020-11-11","7401","","","",""
"2020-11-12","7380","","","",""
"2020-11-13","7294","29688.73","4241.247","-2.48","1141.2"
"2020-11-16","7368","","","",""
"2020-11-17","7212","","","",""
"2020-11-18","7124","","","",""
"2020-11-19","7178","","","",""
"2020-11-20","7076","30608.89","4372.699","-1.3","1142.5"
"2020-11-23","7157","","","",""
"2020-11-24","7162","","","",""
"2020-11-25","7092","","","",""
"2020-11-26","7050","","","",""
"2020-11-27","6984","28779.89","4111.13","3.01","1139.49"
"2020-11-30","6851","","","",""
"2020-12-01","6849","","","",""
"2020-12-02","6672","","","",""
"2020-12-03","6752","","","",""
"2020-12-04","6681","28368.9","4052.7","1.9","1137.59"
"2020-12-07","6680","","","",""
"2020-12-08","6601","","","",""
"2020-12-09","6443","","","",""
"2020-12-10","6347","","","",""
"2020-12-11","6392","29637.96","4233.994","3.23","1134.36"
"2020-12-14","6447","","","",""
"2020-12-15","6462","","","",""
"2020-12-16","6543","","","",""
"2020-12-17","6608","","","",""
"2020-12-18","6668","29921.52","4274.503","3.23","1131.13"
"2020-12-21","6717","","","",""
"2020-12-22","6661","","","",""
"2020-12-23","6532","","","",""
