date,close,煤炭：国有重点煤矿企业：产量：中国（旬）,原煤：大型煤炭企业：产量累计值（月）,原煤：大型煤炭企业：产量累计同比（月）,洗精煤：大型煤炭企业：产量累计值：中国（月）,洗精煤：大型煤炭企业：产量累计同比：中国（月）,煤矿：国有重点煤矿企业：产量：中国（月）,统计局：中国：工业产品：产量：原煤（月）,煤炭：国有重点煤矿企业：销售数合计：中国（旬）,煤炭：国有重点煤矿企业：销售数合计：中国（月）,煤炭：销量：中国（月）,煤炭：重点发电企业：供应量：中国（旬）,煤炭：重点发电企业：消费量：中国（旬）,煤炭：国有重点煤矿企业：库存：中国（旬）,煤炭：重点发电企业：库存平均可用天数：中国（旬）,煤炭：重点发电企业：库存：中国（旬）,煤炭：重点发电企业：库存同期增减：中国（月）,样本洗煤厂（110家）：精煤：库存：中国（周）,样本洗煤厂（110家）：煤炭：开工率：中国（周）,样本洗煤厂（110家）：精煤：日均产量：中国（周）,样本洗煤厂（110家）：原煤：库存：中国（周）,炼焦煤：进口：港口库存（周）,230家独立焦化厂：炼焦煤：库存：中国（周）,炼焦煤：247家钢厂样本焦化厂：库存：中国（周）,炼焦煤：矿山企业库存：中国（周）,炼焦煤：独立焦化企业：库存：中国（周）,炼焦煤：独立焦化企业：平均可用天数：中国（周）
"2017-12-31","","","247586.7","6","82653.6","2","15152.24","31487.2","","14002.4","32400","12028","13175","","15","6499","-47","","","","","","","","","",""
"2018-01-02","1338","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-03","1352","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-04","1367","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-05","1360.5","","","","","","","","","","","","","","","","","","","","","208","1486.4","1119.21","133.88","1631.5","17.64"
"2018-01-08","1390.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-09","1384.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-10","1357","2552","","","","","","","2087","","","3820","4370","1416","14","5950","","","","","","","","","","",""
"2018-01-11","1377","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-12","1345.5","","","","","","","","","","","","","","","","","","","","","225.7","1448.21","1077.54","118.73","1589.03","16.72"
"2018-01-15","1327","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-16","1277.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-17","1284","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-18","1276","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-19","1287.5","","","","","","","","","","","","","","","","","","","","","179.4","1524.83","1081.24","115.23","1668.23","17.39"
"2018-01-20","","5031","","","","","","","3996","","","8200","8720","1398","13","5869","","","","","","","","","","",""
"2018-01-22","1271.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-23","1284.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-24","1289","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-25","1319","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-26","1301","","","","","","","","","","","","","","","","","","","","","194.3","1596.05","1061.11","122.74","1752.96","17.96"
"2018-01-29","1286.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
