date,close,苯乙烯：表观消费量环比：中国（月）,苯乙烯：表观消费量同比：中国（月）,苯乙烯：产量同比：中国（周）,苯乙烯：产量：中国（周）,苯乙烯：检修减损量：中国（月）,苯乙烯：开工率：中国（日）,苯乙烯：产能：中国（日）,苯乙烯：产能：中国企业（月）,苯乙烯：表观消费量：中国（月）,苯乙烯：中国企业：产量：新口径（月）,苯乙烯：样本工厂：库存：中国（周）
"2021-01-18","6858","","","","","","79.05","36158","","","",""
"2021-01-19","7116","","","","","","78.53","36158","","","",""
"2021-01-20","7125","","","","","","80.27","36158","","","",""
"2021-01-21","6900","","","","","","82.03","36158","","","",""
"2021-01-22","6871","","","15.93","201708.63","","82.44","36158","","","","151854"
"2021-01-23","","","","","","","82.44","36158","","","",""
"2021-01-24","","","","","","","83.08","36158","","","",""
"2021-01-25","6884","","","","","","83.99","36158","","","",""
"2021-01-26","7056","","","","","","83.99","36158","","","",""
"2021-01-27","7419","","","","","","83.99","36158","","","",""
"2021-01-28","7092","","","","","","83.99","36158","","","",""
"2021-01-29","7299","","","21.82","211133.63","","83.98","37209","","","","144307"
"2021-01-30","","","","","","","85.06","37209","","","",""
"2021-01-31","","7.82","5.19","","","","85.06","37209","1124051","114.5698926","937837.79",""
"2021-02-01","7335","","","","","","85.54","37209","","","",""
"2021-02-02","7451","","","","","","85.54","37209","","","",""
"2021-02-03","7423","","","","","","85.54","37209","","","",""
"2021-02-04","7641","","","","","","85.54","37209","","","",""
"2021-02-05","7687","","","25.99","221863.63","","86.27","37209","","","","138474"
"2021-02-06","","","","","","","86.8","37209","","","",""
"2021-02-07","","","","","","","86.8","37209","","","",""
"2021-02-08","7734","","","","","","87.66","37209","","","",""
"2021-02-09","7918","","","","","","87.57","37209","","","",""
"2021-02-10","7678","","","","","","87.57","37209","","","",""
"2021-02-11","","","","","","","87.57","37209","","","",""
"2021-02-12","","","","39.92","227403.63","","87.57","37209","","","","130700"
"2021-02-13","","","","","","","87.76","37209","","","",""
"2021-02-14","","","","","","","87.44","37209","","","",""
"2021-02-15","","","","","","","87.44","37209","","","",""
"2021-02-16","","","","","","","87.44","37209","","","",""
"2021-02-17","","","","","","","87.44","37209","","","",""
"2021-02-18","8581","","","","","","87.44","37209","","","",""
"2021-02-19","8811","","","59.59","227908.63","","87.6","37209","","","","165847"
"2021-02-20","","","","","","","87.6","37209","","","",""
"2021-02-21","","","","","","","87.67","37209","","","",""
"2021-02-22","9338","","","","","","87.67","37209","","","",""
"2021-02-23","9244","","","","","","87.67","37209","","","",""
"2021-02-24","9255","","","","","","87.67","37209","","","",""
"2021-02-25","9574","","","","","","87.67","37209","","","",""
"2021-02-26","9900","","","53.81","228290.63","","87.67","37209","","","","152718"
"2021-02-27","","","","","","","87.67","37209","","","",""
"2021-02-28","","-5.82","","","","","87.67","37209","1041852","107.8973189","908444.52",""
"2021-03-01","9370","","","","","","86.65","37209","","","",""
"2021-03-02","9050","","","","","","86.65","37209","","","",""
