date,close,PVC：产量：中国（日）,PVC：地方企业：产能利用率：中国（周）,PVC：电石法：开工率：中国（周）,PVC：乙烯法：开工率：中国（周）,PVC：表观消费量：中国（月）,PVC：成交量：中国（日）,PVC：看跌比例：中国（周）,PVC：看升比例：中国（周）,PVC：预售量：中国（周）,PVC：社会库存：中国（周）,PVC型材：开工率：中国（周）,PVC管材：开工率：中国（周）,PVC糊树脂：产量：中国（月）,碳化钙：平均开工率：中国企业（周）,碳化钙：产量：中国（周）,碳化钙：检修减损量：中国（周）
"2020-12-25","7225","6.4","79.78","83.89","63.25","","0.59","86","0","51.63","9.35","34","46.67","","84.55","29.83","2.85"
"2020-12-26","","6.45","","","","","","","","","","","","","","",""
"2020-12-27","","6.4","","","","","","","","","","","","","","",""
"2020-12-28","7090","6.4","","","","","0.59","","","","","","","","","",""
"2020-12-29","7080","6.42","","","","","0.51","","","","","","","","","",""
"2020-12-30","7095","6.42","","","","","0.86","","","","","","","","","",""
"2020-12-31","7130","6.38","","","","190.319","0.76","","","","","","","9.4224","","",""
"2021-01-01","","6.4","81.77","84.55","70.59","","","73","6","43.04","10.55","34","41","","88.44","30.69","1.89"
"2021-01-02","","6.41","","","","","","","","","","","","","","",""
"2021-01-03","","6.41","","","","","","","","","","","","","","",""
"2021-01-04","7210","6.38","","","","","1.16","","","","","","","","","",""
"2021-01-05","7170","6.38","","","","","0.54","","","","","","","","","",""
"2021-01-06","7190","6.34","","","","","0.6","","","","","","","","","",""
"2021-01-07","7170","6.21","","","","","0.89","","","","","","","","","",""
"2021-01-08","7000","6.18","82.82","84.29","65.42","","0.58","43","0","41.47","11.61","31","60","","88.44","31.5","1.76"
"2021-01-09","","6.27","","","","","","","","","","","","","","",""
"2021-01-10","","6.31","","","","","","","","","","","","","","",""
"2021-01-11","6940","6.34","","","","","0.71","","","","","","","","","",""
"2021-01-12","7025","6.35","","","","","0.68","","","","","","","","","",""
"2021-01-13","7040","6.27","","","","","0.57","","","","","","","","","",""
"2021-01-14","7020","6.27","","","","","0.55","","","","","","","","","",""
"2021-01-15","7040","6.27","82.46","84.99","72.5","","0.77","72","0","39.84","15.35","27","60","","88.2","30.49","3.03"
"2021-01-16","","6.35","","","","","","","","","","","","","","",""
"2021-01-17","","6.33","","","","","","","","","","","","","","",""
"2021-01-18","7190","6.32","","","","","1.05","","","","","","","","","",""
"2021-01-19","7200","6.19","","","","","0.45","","","","","","","","","",""
"2021-01-20","7205","6.27","","","","","0.47","","","","","","","","","",""
"2021-01-21","7390","6.22","","","","","0.47","","","","","","","","","",""
"2021-01-22","7415","6.17","82.1","83.45","77.23","","0.69","50","10","53.26","14.61","26","60","","87.13","30.56","2.59"
"2021-01-23","","6.35","","","","","","","","","","","","","","",""
"2021-01-24","","6.35","","","","","","","","","","","","","","",""
"2021-01-25","7275","6.37","","","","","0.49","","","","","","","","","",""
"2021-01-26","7265","6.37","","","","","0.44","","","","","","","","","",""
"2021-01-27","7340","6.41","","","","","0.41","","","","","","","","","",""
"2021-01-28","7420","6.42","","","","","0.33","","","","","","","","","",""
"2021-01-29","7430","6.45","83.17","83.58","81.58","","0.6","35","3","61.36","14.54","22","63.33","","84.73","29.67","3.74"
"2021-01-31","","","","","","189.22","","","","","","","","10.0231","","",""
"2021-02-01","7280","","","","","","0.39","","","","","","","","","",""
"2021-02-02","7305","","","","","","0.46","","","","","","","","","",""
"2021-02-03","7445","","","","","","0.57","","","","","","","","","",""
