date,close,甲醇：港口库存：中国（周）,甲醇：厂内库存：中国（周）,甲醇：社会库存：中国（周）,甲醇：传统下游厂家：采购量：中国（周）,二氯乙烷：产量：中国（月）,甲醇：采购量：中国（月）,冰醋酸：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（月）,甲醇：开工率同比：中国（月）,甲醇：原料：下游厂家：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：平均开工率：中国（周）,二甲醚：开工率：中国（周）,甲醇：产量同比：中国（日）,甲醇：待发订单：数量：中国（周）,甲醇：产量：中国（日）,甲醇：开工率：中国（日）,甲醇：签约订单：数量：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（周）,甲醛：开工率：中国（周）,甲醇：期末库存：中国（月）,三氯甲烷：产量：中国（日）,甲醇：除中国以外的生产企业：开工率：全球（日）,甲醇：到港量：中国（周）,甲醇：表观消费量环比：中国（月）,甲醇：产能同比：中国（日）,甲醇：表观消费量：中国（月）,甲醇：产能：中国（日）,甲醇：表观消费量同比：中国（月）,甲醇：产能：国外（日）,甲醛：产量：中国（月）,二氯甲烷：平均开工率：中国（周）
"2018-09-28","3228","586200","139930","726130","20800","","","","","","21900","73.81","","","235910","199265.71","71.5571","","307000","","","","","27.46","","","","278470.9925","","","","69.3"
"2018-09-29","","","","","","","","","","","","","","","","199175.71","71.5248","","","","","","","","","","","278470.9925","","","",""
"2018-09-30","","","","","","24000","69585.72","","1081257.14","","","","","","","199875.71","71.7761","","","","663200","","","","-7.32","","580.17","278470.9925","28.23","","",""
"2018-10-01","","","","","","","","","","","","","","","","201245.11","72.2679","","","","","","","","","","","278470.9925","","","",""
"2018-10-02","","","","","","","","","","","","","","","","201245.11","72.2679","","","","","","","","","","","278470.9925","","","",""
"2018-10-03","","","","","","","","","","","","","","","","206895.11","74.2968","","","","","","","","","","","278470.9925","","","",""
"2018-10-04","","","","","","","","","","","","","","","","206895.11","74.2968","","","","","","","","","","","278470.9925","","","",""
"2018-10-05","","","95500","","8000","","","","","","","72.14","","","","206945.11","74.3148","","35000","","","","","9.86","","","","278470.9925","","","","72.56"
"2018-10-06","","","","","","","","","","","","","","","","206645.11","74.2071","","","","","","","","","","","278470.9925","","","",""
"2018-10-07","","","","","","","","","","","","","","","","206275.11","74.0742","","","","","","","","","","","278470.9925","","","",""
"2018-10-08","3325","","","","","","","","","","","","","","","204875.11","73.5714","","","","","","","","","","","278470.9925","","","",""
"2018-10-09","3422","","","","","","","","","","","","","","","204825.11","73.5535","","","","","","","","","","","278470.9925","","","",""
"2018-10-10","3448","","","","","","","","","","","","","","","204920.11","73.5876","","","","","","","","","","","278470.9925","","","",""
"2018-10-11","3389","","","","","","","","","","","","","","","205070.11","73.6415","","","","","","","","","","","278470.9925","","","",""
"2018-10-12","3492","524780","148430","673210","21900","","","","","","20450","","","","251140","205040.11","73.6307","","352600","","","","","27.3","","","","278470.9925","","","","71.39"
"2018-10-13","","","","","","","","","","","","","","","","205240.11","73.7025","","","","","","","","","","","278470.9925","","","",""
"2018-10-14","","","","","","","","","","","","","","","","205380.11","73.7528","","","","","","","","","","","278470.9925","","","",""
"2018-10-15","3466","","","","","","","","","","","","","","","205600.11","73.8318","","","","","","","","","","","278470.9925","","","",""
"2018-10-16","3367","","","","","","","","","","","","","","","206020.11","73.9826","","","","","","","","","","","278470.9925","","","",""
"2018-10-17","3387","","","","","","","","","","","","","","","206520.11","74.1622","","","","","","","","","","","278470.9925","","","",""
"2018-10-18","3385","","","","","","","","","","","","","","","206570.11","74.1801","","","","","","","","","","","278470.9925","","","",""
"2018-10-19","3350","497702","169230","666932","22450","","","","","","21310","74.76","","","252040","205290.11","73.7205","","237900","","","","","25.28","","","","278470.9925","","","","77.79"
"2018-10-20","","","","","","","","","","","","","","","","203650.11","73.1315","","","","","","","","","","","278470.9925","","","",""
"2018-10-21","","","","","","","","","","","","","","","","200250.11","71.9106","","","","","","","","","","","278470.9925","","","",""
"2018-10-22","3331","","","","","","","","","","","","","","","197500.11","70.923","","","","","","","","","","","278470.9925","","","",""
"2018-10-23","3327","","","","","","","","","","","","","","","197500.11","70.923","","","","","","","","","","","278470.9925","","","",""
"2018-10-24","3365","","","","","","","","","","","","","","","197100.11","70.7794","","","","","","","","","","","278470.9925","","","",""
"2018-10-25","3256","","","","","","","","","","","","","","","196900.11","70.7076","","","","","","","","","","","278470.9925","","","",""
"2018-10-26","3224","579500","184580","764080","19000","","","","","","26810","75","","","213340","198500.11","71.2821","","299800","","","","","24","","","","278470.9925","","","","80.25"
"2018-10-27","","","","","","","","","","","","","","","","199860.11","71.7705","","","","","","","","","","","278470.9925","","","",""
"2018-10-28","","","","","","","","","","","","","","","","198410.11","71.2498","","","","","","","","","","","278470.9925","","","",""
"2018-10-29","3072","","","","","","","","","","","","","","","199610.11","71.6808","","","","","","","","","","","278470.9925","","","",""
"2018-10-30","3020","","","","","","","","","","","","","","","199200.11","71.5335","","","","","","","","","","","278470.9925","","","",""
"2018-10-31","3018","","","","","26000","83707.13","","1047442.84","","","","","","","199620.11","71.6843","","","","660500","","","","7.47","","623.48","278470.9925","45.18","","",""
"2018-11-01","2923","","","","","","","","","","","","","","","198470.11","71.2714","","","","","","","","","","","278470.9925","","","",""
"2018-11-02","2950","744800","253780","998580","20500","","","","","","25770","69.76","","","195040","199070.11","71.4868","","160000","","","","","21.73","","","","278470.9925","","","","81.7"
"2018-11-03","","","","","","","","","","","","","","","","198500.11","71.2821","","","","","","","","","","","278470.9925","","","",""
"2018-11-04","","","","","","","","","","","","","","","","195200.11","70.0971","","","","","","","","","","","278470.9925","","","",""
"2018-11-05","2988","","","","","","","","","","","","","","","193080.11","69.3358","","","","","","","","","","","278470.9925","","","",""
"2018-11-06","2895","","","","","","","","","","","","","","","194780.11","69.9463","","","","","","","","","","","278470.9925","","","",""
