date,close,唐山55家调坯轧钢铁企业：螺纹钢：产能利用率（周）,唐山55家调坯轧钢铁企业：螺纹钢：产量（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：需求量：钢坯（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：日均需求量：钢坯（周）,螺纹钢：建筑钢材钢铁企业：产能估算覆盖率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能利用率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能：中国（周）,螺纹钢：建筑钢材钢铁企业：开工率：中国（周）,螺纹钢：建筑钢材钢铁企业：实际产量：中国（周）,螺纹钢：建筑钢材钢铁企业：实际开工条数：中国（周）,螺纹钢：建筑钢材钢铁企业：覆盖产能：中国（周）,螺纹钢：建筑钢材钢铁企业：产线条数：中国（周）,建筑用钢：终端市场：采购量：上海（周）,螺纹钢：消费量：中国（周）,钢筋：表观消费量：中国（月）,螺纹钢：库存：中国（周）,螺纹钢：建筑钢材钢铁企业：厂内库存：中国（周）,螺纹钢：132城市429仓库：社会库存：中国（周）,螺纹钢：社会库存：中国（旬）
"2016-12-16","3293","","","","","64.56","63.93","456.17","73.44","291.65","224","23786","305","20598","277.99","","682.28","250.33","",""
"2016-12-19","3171","","","","","","","","","","","","","","","","","","",""
"2016-12-20","3162","","","","","","","","","","","","","","","","","","",""
"2016-12-21","3169","","","","","","","","","","","","","","","","","","",""
"2016-12-22","3026","","","","","","","","","","","","","","","","","","",""
"2016-12-23","2984","","","","","64.56","62.78","456.17","72.13","286.39","220","23786","305","14950","257.96","","710.71","259.3","",""
"2016-12-26","2922","","","","","","","","","","","","","","","","","","",""
"2016-12-27","3006","","","","","","","","","","","","","","","","","","",""
"2016-12-28","2989","","","","","","","","","","","","","","","","","","",""
"2016-12-29","2952","","","","","","","","","","","","","","","","","","",""
"2016-12-30","2867","","","","","64.56","61.53","456.17","69.18","280.68","211","23786","305","17401","248.48","","742.91","276.57","",""
"2016-12-31","","","","","","","","","","","","","","","","1646.72","","","",""
"2017-01-03","2851","","","","","","","","","","","","","","","","","","",""
"2017-01-04","2930","","","","","","","","","","","","","","","","","","",""
"2017-01-05","2941","","","","","","","","","","","","","","","","","","",""
"2017-01-06","2912","","","","","64.56","59.3","456.17","67.2","270.46","205","23786","305","24150","247.18","","766.19","278.52","",""
"2017-01-09","3048","","","","","","","","","","","","","","","","","","",""
"2017-01-10","3167","","","","","","","","","","","","","","","","","","",""
"2017-01-11","3182","","","","","","","","","","","","","","","","","","",""
"2017-01-12","3207","","","","","","","","","","","","","","","","","","",""
"2017-01-13","3194","","","","","64.56","57","456.17","62.6","260.1","191","23786","305","23439","249.5","","776.79","265.47","",""
"2017-01-16","3375","","","","","","","","","","","","","","","","","","",""
"2017-01-17","3284","","","","","","","","","","","","","","","","","","",""
"2017-01-18","3292","","","","","","","","","","","","","","","","","","",""
"2017-01-19","3256","","","","","","","","","","","","","","","","","","",""
"2017-01-20","3194","","","","","64.56","54.9","456.17","58.7","250.58","179","23786","305","13175","226.99","","800.38","238.5","",""
"2017-01-23","3180","","","","","","","","","","","","","","","","","","",""
"2017-01-24","3292","","","","","","","","","","","","","","","","","","",""
"2017-01-25","3299","","","","","","","","","","","","","","","","","","",""
"2017-01-26","3369","","","","","","","","","","","","","","","","","","",""
"2017-01-27","","","","","","","","","","","","","","","","","800.38","","",""
"2017-02-03","3113","","","","","64.56","51.4","456.17","56.4","234.45","172","23786","305","","","","1065.6","368.28","",""
"2017-02-06","3082","","","","","","","","","","","","","","","","","","",""
"2017-02-07","3165","","","","","","","","","","","","","","","","","","",""
"2017-02-08","3243","","","","","","","","","","","","","","","","","","",""
"2017-02-09","3206","","","","","","","","","","","","","","","","","","",""
"2017-02-10","3328","","","","","64.56","54.9","456.17","58","250.63","177","23786","305","23390","113.56","","1202.67","381.71","",""
"2017-02-13","3437","","","","","","","","","","","","","","","","","","",""
"2017-02-14","3442","","","","","","","","","","","","","","","","","","",""
"2017-02-15","3391","","","","","","","","","","","","","","","","","","",""
"2017-02-16","3381","","","","","","","","","","","","","","","","","","",""
"2017-02-17","3473","","","","","64.56","55.9","456.17","62","254.82","189","23786","305","36648","245.36","","1212.13","338.45","",""
"2017-02-20","3546","","","","","","","","","","","","","","","","","","",""
"2017-02-21","3575","","","","","","","","","","","","","","","","","","",""
"2017-02-22","3525","","","","","","","","","","","","","","","","","","",""
