date,close,菜粕：产量：中国（周）,主要油厂：菜粕：库存：中国（周）,菜粕：沿海油厂：提货量：中国（月）,菜粕：颗粒：消费量：南通（周）
"2017-12-21","2300","","","",""
"2017-12-22","2299","3.33","5.18","",""
"2017-12-25","2304","","","",""
"2017-12-26","2328","","","",""
"2017-12-27","2336","","","",""
"2017-12-28","2327","","","",""
"2017-12-29","2290","3.73","6.73","",""
"2018-01-02","2288","","","",""
"2018-01-03","2294","","","",""
"2018-01-04","2283","","","",""
"2018-01-05","2293","3.61","8.85","",""
"2018-01-08","2280","","","",""
"2018-01-09","2296","","","",""
"2018-01-10","2287","","","",""
"2018-01-11","2270","","","",""
"2018-01-12","2246","3.6","9.85","",""
"2018-01-15","2270","","","",""
"2018-01-16","2269","","","",""
"2018-01-17","2280","","","",""
"2018-01-18","2275","","","",""
"2018-01-19","2294","4.28","6.25","",""
"2018-01-22","2302","","","",""
"2018-01-23","2305","","","",""
"2018-01-24","2283","","","",""
"2018-01-25","2315","","","",""
"2018-01-26","2298","3.17","6.46","",""
"2018-01-29","2340","","","",""
"2018-01-30","2343","","","",""
"2018-01-31","2345","","","",""
"2018-02-01","2338","","","",""
"2018-02-02","2311","2.46","5.7","",""
"2018-02-05","2313","","","",""
"2018-02-06","2303","","","",""
"2018-02-07","2335","","","",""
"2018-02-08","2338","","","",""
"2018-02-09","2334","2.29","7.5","",""
"2018-02-12","2380","","","",""
"2018-02-13","2371","","","",""
"2018-02-14","2380","","","",""
"2018-02-16","","2.75","","",""
"2018-02-22","2464","","","",""
"2018-02-23","2461","0.91","7.45","",""
"2018-02-26","2466","","","",""
"2018-02-27","2463","","","",""
"2018-02-28","2493","","","",""
"2018-03-01","2506","","","",""
"2018-03-02","2578","3.45","6.7","",""
"2018-03-05","2570","","","",""
"2018-03-06","2565","","","",""
"2018-03-07","2553","","","",""
"2018-03-08","2548","","","",""
"2018-03-09","2537","5.05","6.02","",""
"2018-03-12","2517","","","",""
"2018-03-13","2517","","","",""
"2018-03-14","2525","","","",""
"2018-03-15","2494","","","",""
"2018-03-16","2510","5.81","7.85","",""
"2018-03-19","2484","","","",""
"2018-03-20","2477","","","",""
"2018-03-21","2475","","","",""
"2018-03-22","2461","","","",""
"2018-03-23","2502","5.7","7.33","",""
"2018-03-26","2518","","","",""
"2018-03-27","2481","","","",""
"2018-03-28","2489","","","",""
"2018-03-29","2475","","","",""
"2018-03-30","2561","3.26","7.1","",""
"2018-04-02","2589","","","",""
"2018-04-03","2578","","","",""
"2018-04-04","2623","","","",""
"2018-04-06","","2.7","6.85","",""
"2018-04-09","2712","","","",""
